product_code,product_description,sbu_code,sbu_description,business_field_desc,business_field_code,business_unit_code,business_unit_desc
SIA-235431-250G,"METHYL-5-NORBORNENE-2,3-DICARBOXYLIC ANH",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-239321-2.5KG,"SULFITO DE SODIO, GRANULAR, 98+%,  REACT",778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-283223-1G,"POLY(ALLYLAMINE HYDROCHLORIDE), AVERAGE&",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-440167-500ML,"3-GLYCIDOXYPROPYLTRIMETHOXYSILANE, >=98%",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-471712-100ML,2-METIL-2-PROPANOL (ALCOHOL TERBUTILICO),480,Solvents for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-484385-10G,"GOLD(III) CHLORIDE SOLUTION, CA. 30 WT.",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-49629-250ML,"GLUTARALDEHYDE SOLUTION, CA.50% IN WATER",777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-49781-5L,"GLICEROL, 87%",777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SUP-504955,C18 5UM 15CMX4.6MM DISCOVERY HPLC COLUMN,540,HPLC,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-56875-100ML,INDIUM STANDARD FOR ICP-MS,532,Organic & Inorganic Contaminants,Reference Materials (RM),C47,LR2,Chemistry
SIA-57510-5G,INOSINE 5'-MONOPHOSPHATE DISODIUM SALT H,499,BioChem Core,Biochemistry,C35,LR2,Chemistry
SIA-59020-250ML,OCTADECANOL -?? HEXADECANOL -?? EICOSAN&,774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-73671-100MG,D-XYLONIC ACID LITHIUM SALT,777,Biochem Specialty & Kits,Biochemistry,C35,LR2,Chemistry
SIA-741957-25ML,"GOLD NANOPARTICLES, 10 NM DIAMETER, OD &",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-89640-5G,"TOLUIDINE BLUE, FOR MICROSCOPY",790,H & H - Red,Regulated Materials,AS9,LA4,Diagnostics & Regulated Materials
