Stockcode,Descripiton,Cat,Sub Cat,SBU,,,,,,,,,,,,,,,,,,,,,
MASMHBLC0,MAS Iso MH blind cover valve unit        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1091680001,MAS-100 ISO NT Isolator Sys 1 PC        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1401410500,Buffered Peptone Water 500 G          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464390020,Tryptic Soy Broth w. LTH -20P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464560010,Thioglycollate B. 0.1l clear 490100D-10P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5324470001,Independent stand for broth PACKAGING OF         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5427600001,Gravimetric Dilutor 1 UNIT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPP0WVHP,ELECTRICAL HUB POWER SUPPLY           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQISLSUPG,ISL TUBING GUIDE SUPÉRIEUR           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ0B0TEQA,EQUAL SPLITTING TEST BOTTLE           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBLFH01SZ,STERITEST SYMBIO LFH 2 MED SZ         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBFLE01US,STERITEST SYMBIO FLEX 2 M US         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MACGVAL11,MAS-100 Iso CG Ex on-site IQ/OQ service        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000004664,MAS-100 Eco OS Total Service Plan         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RDYSTRM20,ReadyStream® Dispensing Unit            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074052,"Milliflex Rapid 2 - kit, 1 PC        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
MASMH0R04,MAS Iso MH Gemü valve O-ring 2x21        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PPX79117,"NUT, CASSETTE LOCK, PIPETMAX           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1039792500,"MEAT EXTRACT DRY, GRANULATED, FOR MICROB         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1072285000,Buffered Peptone Water 5 KG          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1076200500,Pseudomonas CFC/CN agar base 500 G         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1133060001BWT,Bactident® Coagulase 1 PC           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1172760001,Mounting kit for filter 1 PC         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1401435000,Tryptic Soy Broth 5 KG          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1454870001,"Filter/ Tubing Set, ErgoTouch           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1467670020,ReadyPlate 55 CN Agar ISO 16266         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPB0DY01,MFX+ PUMP BODY            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TQ000RING,KIT PYDANE RING            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZFKIT001WW,"EZ-Fluo reader, camera and power cord         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
SBENCKN0B,KNOB ENCODER FOR SYMBIO           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SB1RTRSRD,ROTOR SPEED REDUCER FOR SYMBIO ISL         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBSTPRING,SYMBIO EXCENTRIC O-RINGS            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MEXPMSTD01,MAS-100 NT Ex preventative maintenance          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074188,LED Board iSM802 + Cable for MXRDP2DT00        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1054480500,WORT AGAR FOR MICROBIOLOGY (55 G FOR 1 L      ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1083422500,"D(+)GLUCOSE MONOHYDRT 1KG 2,5 KG          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1104530500,"APT AGAR FOR MICROBIOLOGY (59,5 G FOR 1       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1106490001,BACILLUS SUBTILIS (BGA) SPORE SUSPENSION          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1301000001,HY-LITE HYGIENE MONITORING SYSTEM           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463860010,Fl. Thioglyc. Med acc EP+USP 510100SD-10         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464320100,Tryptic Soy Broth acc EP+USP 3080R-100P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1467540100,IsoBag TSA+LTHTh Contact 1 PC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
71016-100,GDS MPX TOP 6 STEC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MIACFD101,MICROFIL FUNNEL DISPENSER 100 ML          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TZHALV210,Steritest® NEO LIQUIDS LARGE VIAL MCE         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TSVALID12,Steritest essential PQ consultancy           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
XX63LK230,"Dual Inc Lab Kit, 230V          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
SBCALKIT3T,MAINTENANCE TUBING KIT FOR 3 MEDIAS PUMP        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFAAB25BS,"EZ-Fit 0,8µm ,MCE bla,250 ml, no pad,bul        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
910000020931,VHP Oasis pump w/o power supply         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000073850,Elec. cable for Oasis VHP pump 1 PC       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASIS00RG,O-Ring - flange exterior           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1008000500,TRYPTIC SOY (CASO) BROTH IRRIDIATED CASE         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1117810010,LISTERIA SELECTIVE ENRICHMENT SUPPLEMENT           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1194650001,Cable Main PCB f MAS-100 NT 1 PC       ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1463250006,ReadyTube™1000 Giolitti Cantoni ISO           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464800010,Buff. NaCl-Pept. Sol. acc EP 514090-10P         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXEF50024,MILLIFLEX 500 ML EXTENSION FUNNEL          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GSWG047S6,0.22um White Gridded S-Pak 47mm 600/Pk         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MISP00015,MICROFIL SYRINGE SPARE P KIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MIACHVP01,MICROFIL HAND VACUUM PUMP           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
HAWG647SP,White Gridded 47mm filter + absbant pads        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TSVALID11,On Site Sterility Testing Validat IQ/OQ         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXRPPUMKT,MAINTENANCE KIT PUMP SPRAYER MILL RAPID         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EZCC0VERD,RIGHT COVER WITH STICKER           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
SBRTRBLKT,ROTOR TRANSMISSION BELT KIT FOR SYMBIO         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFGSW10MS,"EZ-Fit 0,22µm ,MCE whi,100 ml, no pad,mu        ",BioM,,,,,,,,,,,,,,,,,,,,,,,
CKHAWG101,"EZ-Curve w/ 4 bx Microfil 100, 0,45µ whi       ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RTMEDEV21,Milliflex Rapid STE remote MD consulting         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074752,Symbio IQ OQ Printable Protocol          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MMTUBEKIT,MFX Oasis Service kit           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GM07630220103,"ASSY., MANIFOLD, WASH (ASP.+DISP.)           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
RGQ9021255,"RGQ, TOOL, CALIBRATION, THERMISTOR           ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1004670500,ROSE-BENGAL CHLORAMPHENICOL AGAR FOR MIC          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1090880001,EXTRA PERFORATED LID (AUTOCLAVABLE) FOR          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1133060001,Bactident® Coagulase 6 X 3 ML         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
5230010001,Trocar PACKAGING OF 1 UNIT          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MRSMCTS48,MILLIFLEX RAPID AGAR CASSETTES (TSA)          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MAISA4VP1,MAS-100 ISO NT validation protocol (A4)         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MASEXBATE,Li-Ion Battery pack for MAS-100 NT Ex        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
